country,first_letter,last_letter
afghanistan,a,n
alabama,a,a
alaska,a,a
albania,a,a
algeria,a,a
andorra,a,a
angola,a,a
barbuda,b,a
antigua,a,a
argentina,a,a
arizona,a,a
arkansas,a,s
armenia,a,a
australia,a,a
austria,a,a
azerbaijan,a,n
bahamas,b,s
bahrain,b,n
bangladesh,b,h
barbados,b,s
belarus,b,s
belgium,b,m
belize,b,e
benin,b,n
bhutan,b,n
bolivia,b,a
herzegovina,h,a
bosnia,b,a
botswana,b,a
brazil,b,l
brunei,b,i
bulgaria,b,a
burkina faso,b,o
burundi,b,i
cabo verde,c,e
california,c,a
cambodia,c,a
cameroon,c,n
canada,c,a
central african republic,c,c
chad,c,d
chile,c,e
china,c,a
colombia,c,a
colorado,c,o
comoros,c,s
congo,c,o
connecticut,c,t
costa rica,c,a
côte d'ivoire,c,e
croatia,c,a
cuba,c,a
cyprus,c,s
czech republic,c,c
delaware,d,e
democratic republic of the congo,d,o
denmark,d,k
djibouti,d,i
dominica,d,a
dominican republic,d,c
ecuador,e,r
egypt,e,t
el salvador,e,r
equatorial guinea,e,a
eritrea,e,a
estonia,e,a
eswatini,e,i
ethiopia,e,a
fiji,f,i
finland,f,d
florida,f,a
france,f,e
gabon,g,n
gambia,g,a
georgia,g,a
georgia,g,a
germany,g,y
ghana,g,a
greece,g,e
grenada,g,a
guatemala,g,a
guinea,g,a
guinea-bissau,g,u
guyana,g,a
haiti,h,i
hawaii,h,i
holy see,h,e
honduras,h,s
hungary,h,y
iceland,i,d
idaho,i,o
illinois,i,s
india,i,a
indiana,i,a
indonesia,i,a
iowa,i,a
iran,i,n
iraq,i,q
ireland,i,d
israel,i,l
italy,i,y
jamaica,j,a
japan,j,n
jordan,j,n
kansas,k,s
kazakhstan,k,n
kentucky,k,y
kenya,k,a
kiribati,k,i
kuwait,k,t
kyrgyzstan,k,n
laos,l,s
latvia,l,a
lebanon,l,n
lesotho,l,o
liberia,l,a
libya,l,a
liechtenstein,l,n
lithuania,l,a
louisiana,l,a
luxembourg,l,g
madagascar,m,r
maine,m,e
malawi,m,i
malaysia,m,a
maldives,m,s
mali,m,i
malta,m,a
marshall islands,m,s
maryland,m,d
massachusetts,m,s
mauritania,m,a
mauritius,m,s
mexico,m,o
michigan,m,n
micronesia,m,a
minnesota,m,a
mississippi,m,i
missouri,m,i
moldova,m,a
monaco,m,o
mongolia,m,a
montana,m,a
montenegro,m,o
morocco,m,o
mozambique,m,e
myanmar,m,r
namibia,n,a
nauru,n,u
nebraska,n,a
nepal,n,l
netherlands,n,s
nevada,n,a
new hampshire,n,e
new jersey,n,y
new mexico,n,o
new york,n,k
new zealand,n,d
nicaragua,n,a
niger,n,r
nigeria,n,a
north carolina,n,a
north dakota,n,a
north korea,n,a
north macedonia,n,a
norway,n,y
ohio,o,o
oklahoma,o,a
oman,o,n
oregon,o,n
pakistan,p,n
palau,p,u
palestine state,p,e
panama,p,a
papua new guinea,p,a
paraguay,p,y
pennsylvania,p,a
peru,p,u
philippines,p,s
poland,p,d
portugal,p,l
qatar,q,r
rhode island,r,d
romania,r,a
russia,r,a
rwanda,r,a
saint kitts and nevis,s,s
saint lucia,s,a
saint vincent and the grenadines,s,s
samoa,s,a
san marino,s,o
sao tome and principe,s,e
saudi arabia,s,a
senegal,s,l
serbia,s,a
seychelles,s,s
sierra leone,s,e
singapore,s,e
slovakia,s,a
slovenia,s,a
solomon islands,s,s
somalia,s,a
south africa,s,a
south carolina,s,a
south dakota,s,a
south korea,s,a
south sudan,s,n
spain,s,n
sri lanka,s,a
sudan,s,n
suriname,s,e
sweden,s,n
switzerland,s,d
syria,s,a
tajikistan,t,n
tanzania,t,a
tennessee,t,e
texas,t,s
thailand,t,d
timor-leste,t,e
togo,t,o
tonga,t,a
trinidad and tobago,t,o
tunisia,t,a
turkey,t,y
turkmenistan,t,n
tuvalu,t,u
uganda,u,a
ukraine,u,e
united arab emirates,u,s
united kingdom,u,m
united states of america,u,a
uruguay,u,y
utah,u,h
uzbekistan,u,n
vanuatu,v,u
venezuela,v,a
vermont,v,t
vietnam,v,m
virginia,v,a
washington,w,n
west virginia,w,a
wisconsin,w,n
wyoming,w,g
yemen,y,n
zambia,z,a
zimbabwe,z,e
